size,run,method,time_ms
33554432,9,radixsort_non_pow2,305.345
33554432,10,cpu_pow2,1546.37
33554432,10,cpu_non_pow2,1518.21
33554432,10,radixsort_pow2,289.364
33554432,10,radixsort_non_pow2,280.599
67108864,1,cpu_pow2,3068.55
67108864,1,cpu_non_pow2,3012.11
67108864,1,radixsort_pow2,515.612
67108864,1,radixsort_non_pow2,519.143
67108864,2,cpu_pow2,3005.19
67108864,2,cpu_non_pow2,3028.14
67108864,2,radixsort_pow2,526.227
67108864,2,radixsort_non_pow2,515.964
67108864,3,cpu_pow2,3058.06
67108864,3,cpu_non_pow2,3049.14
67108864,3,radixsort_pow2,521.026
67108864,3,radixsort_non_pow2,515.174
67108864,4,cpu_pow2,3010.2
67108864,4,cpu_non_pow2,3019.12
67108864,4,radixsort_pow2,517.42
67108864,4,radixsort_non_pow2,516.477
67108864,5,cpu_pow2,3032.43
67108864,5,cpu_non_pow2,3002.39
67108864,5,radixsort_pow2,521.633
67108864,5,radixsort_non_pow2,516.546
67108864,6,cpu_pow2,3027.27
67108864,6,cpu_non_pow2,3023.65
67108864,6,radixsort_pow2,520.2
67108864,6,radixsort_non_pow2,517.002
67108864,7,cpu_pow2,3067.05
67108864,7,cpu_non_pow2,3092.49
67108864,7,radixsort_pow2,536.546
67108864,7,radixsort_non_pow2,518.33
67108864,8,cpu_pow2,3017.05
67108864,8,cpu_non_pow2,3019.5
67108864,8,radixsort_pow2,524.98
67108864,8,radixsort_non_pow2,519.893
67108864,9,cpu_pow2,3011.92
67108864,9,cpu_non_pow2,2995.26
67108864,9,radixsort_pow2,523.85
67108864,9,radixsort_non_pow2,517.899
67108864,10,cpu_pow2,3003.54
67108864,10,cpu_non_pow2,3012.17
67108864,10,radixsort_pow2,520.796
67108864,10,radixsort_non_pow2,519.375
134217728,1,cpu_pow2,5936.73
134217728,1,cpu_non_pow2,6091.71
134217728,1,radixsort_pow2,1044.68
134217728,1,radixsort_non_pow2,1035.31
134217728,2,cpu_pow2,6000.72
134217728,2,cpu_non_pow2,5948.19
134217728,2,radixsort_pow2,1033.53
134217728,2,radixsort_non_pow2,1027.97
134217728,3,cpu_pow2,5981.03
134217728,3,cpu_non_pow2,5984.76
134217728,3,radixsort_pow2,1032.85
134217728,3,radixsort_non_pow2,1028.51
134217728,4,cpu_pow2,5893.52
134217728,4,cpu_non_pow2,5995.66
134217728,4,radixsort_pow2,1036.58
134217728,4,radixsort_non_pow2,1026.83
134217728,5,cpu_pow2,5970.86
134217728,5,cpu_non_pow2,6050.97
134217728,5,radixsort_pow2,1057.49
134217728,5,radixsort_non_pow2,1027.12
134217728,6,cpu_pow2,6114.02
134217728,6,cpu_non_pow2,6219.39
134217728,6,radixsort_pow2,1049.61
134217728,6,radixsort_non_pow2,1082.07
134217728,7,cpu_pow2,6049.7
134217728,7,cpu_non_pow2,6038.77
134217728,7,radixsort_pow2,1037.27
134217728,7,radixsort_non_pow2,1031.87
134217728,8,cpu_pow2,6179.4
134217728,8,cpu_non_pow2,6105.52
134217728,8,radixsort_pow2,1089.13
134217728,8,radixsort_non_pow2,1081.17
134217728,9,cpu_pow2,6135.11
134217728,9,cpu_non_pow2,6102.33
134217728,9,radixsort_pow2,1062.17
134217728,9,radixsort_non_pow2,1052.3
134217728,10,cpu_pow2,6062.03
134217728,10,cpu_non_pow2,6224.28
134217728,10,radixsort_pow2,1061.0
134217728,10,radixsort_non_pow2,1054.05
