size,suite,method,time_s,time_ms
16384,scan,scan_work_efficient_non_pow2,0.0646304,64.63040000000001
16384,scan,scan_work_efficient_pow2,0.21995840000000003,219.95840000000004
32768,compact,compact_cpu_with_scan,0.11356999999999999,113.57
32768,compact,compact_cpu_without_scan_non_pow2,0.05895,58.95
32768,compact,compact_cpu_without_scan_pow2,0.06326,63.26
32768,compact,compact_work_efficient_non_pow2,0.1037312,103.7312
32768,compact,compact_work_efficient_pow2,0.22483840000000002,224.83840000000004
32768,scan,scan_cpu_non_pow2,0.01426,14.26
32768,scan,scan_cpu_pow2,0.01594,15.94
32768,scan,scan_naive_non_pow2,0.3867488,386.7488
32768,scan,scan_naive_pow2,0.453104,453.104
32768,scan,scan_thrust_non_pow2,0.0465856,46.5856
32768,scan,scan_thrust_pow2,0.1269728,126.97279999999999
32768,scan,scan_work_efficient_non_pow2,0.0666656,66.66560000000001
32768,scan,scan_work_efficient_pow2,0.199824,199.824
65536,compact,compact_cpu_with_scan,0.21562,215.62
65536,compact,compact_cpu_without_scan_non_pow2,0.1147,114.7
65536,compact,compact_cpu_without_scan_pow2,0.1187,118.7
65536,compact,compact_work_efficient_non_pow2,0.1129472,112.9472
65536,compact,compact_work_efficient_pow2,0.2936448,293.6448
65536,scan,scan_cpu_non_pow2,0.02952,29.52
65536,scan,scan_cpu_pow2,0.032440000000000004,32.440000000000005
65536,scan,scan_naive_non_pow2,0.3489888,348.98879999999997
65536,scan,scan_naive_pow2,0.553987,553.987
65536,scan,scan_thrust_non_pow2,0.057856,57.855999999999995
65536,scan,scan_thrust_pow2,0.1200128,120.0128
65536,scan,scan_work_efficient_non_pow2,0.056735999999999995,56.736
65536,scan,scan_work_efficient_pow2,0.2145184,214.51839999999999
131072,compact,compact_cpu_with_scan,0.39168,391.67999999999995
131072,compact,compact_cpu_without_scan_non_pow2,0.22286,222.86
131072,compact,compact_cpu_without_scan_pow2,0.22954,229.54
131072,compact,compact_work_efficient_non_pow2,0.12390399999999999,123.90399999999998
131072,compact,compact_work_efficient_pow2,0.250128,250.12800000000001
131072,scan,scan_cpu_non_pow2,0.056569999999999995,56.56999999999999
131072,scan,scan_cpu_pow2,0.06423999999999999,64.24
131072,scan,scan_naive_non_pow2,0.3854048,385.40479999999997
131072,scan,scan_naive_pow2,0.6710304,671.0304
131072,scan,scan_thrust_non_pow2,0.050569600000000006,50.56960000000001
131072,scan,scan_thrust_pow2,0.12707839999999998,127.07839999999997
131072,scan,scan_work_efficient_non_pow2,0.0642176,64.2176
131072,scan,scan_work_efficient_pow2,0.197872,197.87199999999999
262144,compact,compact_cpu_with_scan,0.76507,765.07
262144,compact,compact_cpu_without_scan_non_pow2,0.44792,447.91999999999996
262144,compact,compact_cpu_without_scan_pow2,0.45067,450.67
262144,compact,compact_work_efficient_non_pow2,0.10731519999999999,107.31519999999999
262144,compact,compact_work_efficient_pow2,0.2974272,297.4272
262144,scan,scan_cpu_non_pow2,0.11900999999999999,119.00999999999999
262144,scan,scan_cpu_pow2,0.13381,133.81
262144,scan,scan_naive_non_pow2,0.4949986,494.9986
262144,scan,scan_naive_pow2,0.5859932000000001,585.9932000000001
262144,scan,scan_thrust_non_pow2,0.5357568,535.7568
262144,scan,scan_thrust_pow2,0.5522432,552.2432
262144,scan,scan_work_efficient_non_pow2,0.070656,70.65599999999999
262144,scan,scan_work_efficient_pow2,0.20912000000000003,209.12000000000003
524288,compact,compact_cpu_with_scan,1.517,1517.0
524288,compact,compact_cpu_without_scan_non_pow2,0.8848699999999999,884.8699999999999
524288,compact,compact_cpu_without_scan_pow2,0.89369,893.6899999999999
524288,compact,compact_work_efficient_non_pow2,0.1691648,169.1648
524288,compact,compact_work_efficient_pow2,0.384144,384.144
524288,scan,scan_cpu_non_pow2,0.56081,560.8100000000001
524288,scan,scan_cpu_pow2,0.27379000000000003,273.79
524288,scan,scan_naive_non_pow2,0.7498272,749.8272000000001
524288,scan,scan_naive_pow2,0.9882334,988.2334000000001
