size,run,suite,method,time_s,time_ms
1048576,7,scan,scan_thrust_pow2,0.555008,555.0079999999999
1048576,7,scan,scan_thrust_non_pow2,0.627712,627.7120000000001
1048576,7,compact,compact_cpu_without_scan_pow2,1.7736,1773.6000000000001
1048576,7,compact,compact_cpu_without_scan_non_pow2,1.7799,1779.9
1048576,7,compact,compact_cpu_with_scan,2.9913,2991.2999999999997
1048576,7,compact,compact_work_efficient_pow2,0.481152,481.15200000000004
1048576,7,compact,compact_work_efficient_non_pow2,0.231424,231.42399999999998
1048576,8,scan,scan_cpu_pow2,0.54,540.0
1048576,8,scan,scan_cpu_non_pow2,0.4696,469.6
1048576,8,scan,scan_naive_pow2,0.990528,990.528
1048576,8,scan,scan_naive_non_pow2,0.90704,907.04
1048576,8,scan,scan_work_efficient_pow2,0.49472,494.71999999999997
1048576,8,scan,scan_work_efficient_non_pow2,0.130048,130.048
1048576,8,scan,scan_thrust_pow2,0.782336,782.336
1048576,8,scan,scan_thrust_non_pow2,0.572416,572.416
1048576,8,compact,compact_cpu_without_scan_pow2,1.7738,1773.8
1048576,8,compact,compact_cpu_without_scan_non_pow2,1.7718,1771.8
1048576,8,compact,compact_cpu_with_scan,2.9814,2981.3999999999996
1048576,8,compact,compact_work_efficient_pow2,0.683872,683.8720000000001
1048576,8,compact,compact_work_efficient_non_pow2,0.221184,221.184
1048576,9,scan,scan_cpu_pow2,0.4714,471.4
1048576,9,scan,scan_cpu_non_pow2,0.4571,457.1
1048576,9,scan,scan_naive_pow2,1.06557,1065.57
1048576,9,scan,scan_naive_non_pow2,0.888192,888.192
1048576,9,scan,scan_work_efficient_pow2,0.289152,289.15200000000004
1048576,9,scan,scan_work_efficient_non_pow2,0.216064,216.064
1048576,9,scan,scan_thrust_pow2,0.490496,490.496
1048576,9,scan,scan_thrust_non_pow2,0.564224,564.2239999999999
1048576,9,compact,compact_cpu_without_scan_pow2,1.772,1772.0
1048576,9,compact,compact_cpu_without_scan_non_pow2,1.7727,1772.7
1048576,9,compact,compact_cpu_with_scan,2.9239,2923.9
1048576,9,compact,compact_work_efficient_pow2,0.821728,821.7280000000001
1048576,9,compact,compact_work_efficient_non_pow2,0.882688,882.688
1048576,10,scan,scan_cpu_pow2,0.6784,678.4
1048576,10,scan,scan_cpu_non_pow2,0.473,473.0
1048576,10,scan,scan_naive_pow2,1.01606,1016.06
1048576,10,scan,scan_naive_non_pow2,0.959392,959.392
1048576,10,scan,scan_work_efficient_pow2,0.44688,446.88
1048576,10,scan,scan_work_efficient_non_pow2,0.119808,119.80799999999999
1048576,10,scan,scan_thrust_pow2,0.566272,566.272
1048576,10,scan,scan_thrust_non_pow2,0.483328,483.328
1048576,10,compact,compact_cpu_without_scan_pow2,1.7899,1789.9
1048576,10,compact,compact_cpu_without_scan_non_pow2,1.7777,1777.7
1048576,10,compact,compact_cpu_with_scan,3.0413,3041.3
1048576,10,compact,compact_work_efficient_pow2,1.20099,1200.99
1048576,10,compact,compact_work_efficient_non_pow2,0.2816,281.6
524288,1,scan,scan_cpu_pow2,0.2726,272.6
524288,1,scan,scan_cpu_non_pow2,0.2448,244.79999999999998
524288,1,scan,scan_naive_pow2,0.923296,923.296
524288,1,scan,scan_naive_non_pow2,0.919456,919.456
524288,1,scan,scan_work_efficient_pow2,0.319264,319.264
524288,1,scan,scan_work_efficient_non_pow2,0.145408,145.40800000000002
524288,1,scan,scan_thrust_pow2,0.570368,570.3679999999999
524288,1,scan,scan_thrust_non_pow2,0.499712,499.712
524288,1,compact,compact_cpu_without_scan_pow2,0.8899,889.9
524288,1,compact,compact_cpu_without_scan_non_pow2,0.8792,879.1999999999999
524288,1,compact,compact_cpu_with_scan,1.484,1484.0
524288,1,compact,compact_work_efficient_pow2,0.366624,366.624
524288,1,compact,compact_work_efficient_non_pow2,0.139264,139.264
524288,2,scan,scan_cpu_pow2,0.2597,259.7
524288,2,scan,scan_cpu_non_pow2,3.2616,3261.6
524288,2,scan,scan_naive_pow2,1.64019,1640.19
524288,2,scan,scan_naive_non_pow2,0.768576,768.576
524288,2,scan,scan_work_efficient_pow2,0.218208,218.20800000000003
524288,2,scan,scan_work_efficient_non_pow2,0.078848,78.848
524288,2,scan,scan_thrust_pow2,0.5376,537.6
524288,2,scan,scan_thrust_non_pow2,0.524288,524.288
524288,2,compact,compact_cpu_without_scan_pow2,0.8938,893.8000000000001
524288,2,compact,compact_cpu_without_scan_non_pow2,0.8795,879.5
524288,2,compact,compact_cpu_with_scan,1.4681,1468.1
524288,2,compact,compact_work_efficient_pow2,0.3992,399.2
524288,2,compact,compact_work_efficient_non_pow2,0.1536,153.6
524288,3,scan,scan_cpu_pow2,0.2345,234.5
524288,3,scan,scan_cpu_non_pow2,0.2091,209.1
524288,3,scan,scan_naive_pow2,0.795232,795.2320000000001
524288,3,scan,scan_naive_non_pow2,0.656224,656.224
524288,3,scan,scan_work_efficient_pow2,0.352256,352.25600000000003
524288,3,scan,scan_work_efficient_non_pow2,0.079872,79.872
524288,3,scan,scan_thrust_pow2,0.551936,551.936
524288,3,scan,scan_thrust_non_pow2,0.507904,507.904
524288,3,compact,compact_cpu_without_scan_pow2,0.9156,915.6
524288,3,compact,compact_cpu_without_scan_non_pow2,0.8925,892.5
524288,3,compact,compact_cpu_with_scan,1.5577,1557.7
524288,3,compact,compact_work_efficient_pow2,0.403616,403.616
524288,3,compact,compact_work_efficient_non_pow2,0.157696,157.696
524288,4,scan,scan_cpu_pow2,0.2419,241.9
524288,4,scan,scan_cpu_non_pow2,0.2087,208.7
524288,4,scan,scan_naive_pow2,1.56384,1563.84
524288,4,scan,scan_naive_non_pow2,0.628512,628.512
524288,4,scan,scan_work_efficient_pow2,0.778464,778.464
524288,4,scan,scan_work_efficient_non_pow2,0.1024,102.4
524288,4,scan,scan_thrust_pow2,0.520192,520.192
524288,4,scan,scan_thrust_non_pow2,0.49152,491.52000000000004
524288,4,compact,compact_cpu_without_scan_pow2,0.8868,886.8000000000001
524288,4,compact,compact_cpu_without_scan_non_pow2,0.8961,896.1
524288,4,compact,compact_cpu_with_scan,1.4897,1489.7
524288,4,compact,compact_work_efficient_pow2,0.357472,357.47200000000004
524288,4,compact,compact_work_efficient_non_pow2,0.18944,189.44
524288,5,scan,scan_cpu_pow2,0.334,334.0
524288,5,scan,scan_cpu_non_pow2,0.2255,225.5
524288,5,scan,scan_naive_pow2,0.72784,727.84
524288,5,scan,scan_naive_non_pow2,0.688512,688.5120000000001
524288,5,scan,scan_work_efficient_pow2,0.321056,321.056
524288,5,scan,scan_work_efficient_non_pow2,0.079872,79.872
524288,5,scan,scan_thrust_pow2,0.550912,550.9119999999999
524288,5,scan,scan_thrust_non_pow2,0.482304,482.30400000000003
524288,5,compact,compact_cpu_without_scan_pow2,0.8902,890.2
524288,5,compact,compact_cpu_without_scan_non_pow2,0.8859,885.9
524288,5,compact,compact_cpu_with_scan,1.5687,1568.7
524288,5,compact,compact_work_efficient_pow2,0.439872,439.87199999999996
524288,5,compact,compact_work_efficient_non_pow2,0.190464,190.464
524288,6,scan,scan_cpu_pow2,0.3269,326.90000000000003
524288,6,scan,scan_cpu_non_pow2,0.2151,215.10000000000002
524288,6,scan,scan_naive_pow2,0.756384,756.3839999999999
524288,6,scan,scan_naive_non_pow2,0.582912,582.912
524288,6,scan,scan_work_efficient_pow2,0.224256,224.256
524288,6,scan,scan_work_efficient_non_pow2,0.11776,117.76
524288,6,scan,scan_thrust_pow2,0.618496,618.4960000000001
524288,6,scan,scan_thrust_non_pow2,0.505856,505.856
524288,6,compact,compact_cpu_without_scan_pow2,0.8836,883.6
524288,6,compact,compact_cpu_without_scan_non_pow2,0.8815,881.5
524288,6,compact,compact_cpu_with_scan,1.4793,1479.3
524288,6,compact,compact_work_efficient_pow2,0.35952,359.52
524288,6,compact,compact_work_efficient_non_pow2,0.205824,205.824
524288,7,scan,scan_cpu_pow2,0.2721,272.1
524288,7,scan,scan_cpu_non_pow2,0.334,334.0
524288,7,scan,scan_naive_pow2,0.797824,797.824
524288,7,scan,scan_naive_non_pow2,0.861888,861.888
524288,7,scan,scan_work_efficient_pow2,0.263424,263.424
524288,7,scan,scan_work_efficient_non_pow2,0.110592,110.592
524288,7,scan,scan_thrust_pow2,1.24621,1246.21
524288,7,scan,scan_thrust_non_pow2,0.480256,480.25600000000003
524288,7,compact,compact_cpu_without_scan_pow2,0.8919,891.9
524288,7,compact,compact_cpu_without_scan_non_pow2,0.8867,886.7
524288,7,compact,compact_cpu_with_scan,1.5136,1513.6000000000001
524288,7,compact,compact_work_efficient_pow2,0.351904,351.904
524288,7,compact,compact_work_efficient_non_pow2,0.167936,167.936
524288,8,scan,scan_cpu_pow2,0.2777,277.7
524288,8,scan,scan_cpu_non_pow2,0.2814,281.4
524288,8,scan,scan_naive_pow2,1.23696,1236.96
524288,8,scan,scan_naive_non_pow2,0.777856,777.856
